case,cores,arm,makespan,bytes,reference,speedup,slots,official_calls,cache_hits,solve_seconds,replay_seconds,replay_equal,base_makespan
22,5,legacy,11479,20736,56780,4.9464239045213,12,11,1,2.5462051946669817,0.25056772492825985,True,11479
22,5,routed,11479,20736,56780,4.9464239045213,12,11,1,2.8881353344768286,0.2567571699619293,True,11479
23,2,legacy,60965,74016,122614,2.0112195522020833,12,11,1,1.8640303369611502,0.1167377233505249,True,60965
23,2,routed,60965,74016,122614,2.0112195522020833,12,11,1,1.908326480537653,0.13203594647347927,True,60965
23,3,legacy,40682,207264,122614,3.0139619487734133,12,11,1,1.7679908573627472,0.21472371742129326,True,40682
23,3,routed,40682,207264,122614,3.0139619487734133,12,11,1,1.5640900116413832,0.11459504812955856,True,40682
23,4,legacy,30516,281280,122614,4.018023332022546,12,11,1,2.531007308512926,0.11795362271368504,True,30516
23,4,routed,30516,281280,122614,4.018023332022546,12,11,1,2.0779190361499786,0.12355653382837772,True,30516
23,5,legacy,24940,280992,122614,4.91635926222935,12,10,2,1.4492853451520205,0.11940326727926731,True,24940
23,5,routed,24940,280992,122614,4.91635926222935,12,10,2,1.6536565627902746,0.1079200766980648,True,24940
24,2,legacy,1382326,3632,2555343,1.8485820276837737,12,10,2,29.686399072408676,2.1752815674990416,True,1382326
24,2,routed,1335245,396856,2555343,1.9137633917370969,12,10,2,29.12863260321319,2.258365049958229,True,1335245
24,3,legacy,982864,5044,2555343,2.5998947972456006,12,10,2,37.19522135332227,1.752135219052434,True,982864
24,3,routed,954537,332124,2555343,2.677049711011726,12,10,2,33.214934239163995,1.873114725574851,True,954537
24,4,legacy,797232,5632,2555343,3.205268980673129,12,10,2,30.570539567619562,2.376513009890914,True,797232
24,4,routed,748435,595068,2555343,3.4142483983245038,12,10,2,34.33845323510468,1.6046891678124666,True,748435
24,5,legacy,743500,628436,2555343,3.4369105581708137,12,10,2,34.88571562059224,1.5963407810777426,True,743500
24,5,routed,695849,432232,2555343,3.672266540585673,12,10,2,41.786805137991905,1.836679982021451,True,695849
25,2,legacy,2431840,27648,4863026,1.9997310678334101,12,8,4,117.08749362453818,12.747695663943887,True,2431840
25,2,routed,2431840,27648,4863026,1.9997310678334101,12,8,4,123.70801037177444,10.407364200800657,True,2431840
25,3,legacy,1622164,55296,4863026,2.9978633479722148,12,8,4,128.83498083427548,8.965149881318212,True,1622164
25,3,routed,1622164,55296,4863026,2.9978633479722148,12,8,4,116.9625962227583,8.301112044602633,True,1622164
25,4,legacy,1217444,82944,4863026,3.9944555971362954,12,8,4,128.418556638062,8.432712487876415,True,1217444
25,4,routed,1217444,82944,4863026,3.9944555971362954,12,8,4,119.90628047846258,9.528444612398744,True,1217444
25,5,legacy,975282,110592,4863026,4.986276789687495,12,8,4,131.13146799243987,9.294135535135865,True,975282
25,5,routed,975282,110592,4863026,4.986276789687495,12,8,4,128.7683751191944,7.29914266243577,True,975282
26,2,legacy,51429,21936,99203,1.9289311477959905,12,11,1,1.5663635805249214,0.12395094521343708,True,51429
26,2,routed,51429,21936,99203,1.9289311477959905,12,11,1,1.157791381701827,0.12303968891501427,True,51429
26,3,legacy,41688,95664,99203,2.379653617347918,12,12,0,1.7481625955551863,0.1308897752314806,True,41688
